Record #,longitude,latitude,Elev,Trend,Elev (KPB),Elev difference
732,-106.4056393,47.76335178,750,1,807.4983953,-57.4983953
734,-106.4041306,47.76382014,750,169,807.3682238,-57.3682238
431,-106.4726625,47.78759715,769,20,826.3611498,-57.3611498
391,-106.8755025,47.55043167,771,134,828.3275028,-57.3275028
1572,-106.3126708,47.66807686,706,48.8,763.281328,-57.281328
1711,-106.2758476,47.6624187,698,79,755.156891,-57.156891
1958,-106.266115,47.61023039,681,54,738.1537735,-57.1537735
547,-106.5241223,47.72834012,761,166,818.0908128,-57.0908128
1666,-106.2812243,47.6687743,701,105,757.9653096,-56.9653096
179,-107.1555709,47.57361007,828,111,884.8650062,-56.8650062
1587,-106.3059133,47.67059242,706,92,762.830562,-56.830562
1443,-106.3162838,47.68779488,713,119,769.6917586,-56.6917586
819,-106.4125493,47.74106926,746,96,802.1936126,-56.1936126
1003,-106.3729486,47.73056355,736,129.3,792.1630894,-56.1630894
356,-106.7677589,47.62569489,775,117,831.1453618,-56.1453618
1577,-106.3132497,47.66726042,707,51,763.1452129,-56.1452129
1068,-106.3980607,47.70461636,733,111,788.981304,-55.981304
46,-107.23386,47.58098385,845,154,900.9580868,-55.9580868
725,-106.4060429,47.76446256,752,147,807.894109,-55.894109
421,-106.4836477,47.78280379,771,132,826.8892003,-55.8892003
557,-106.4350334,47.78110956,762,164,817.8529888,-55.8529888
1450,-106.3186982,47.68577862,714,99,769.5251083,-55.5251083
343,-106.8501635,47.58007879,777,114,832.4580703,-55.4580703
94,-107.1708537,47.60072188,840,87,895.4516941,-55.4516941
1453,-106.3254118,47.68148123,714,172.14,769.4456678,-55.4456678
1237,-106.3571274,47.69653286,724,107,779.4228806,-55.4228806
984,-106.4091386,47.71304683,738,7,793.3946,-55.3946
543,-106.4490902,47.77437351,763,174,818.3540674,-55.3540674
1182,-106.3599217,47.70814304,728,89.4,783.3146974,-55.3146974
1183,-106.3597756,47.70816277,728,88.9,783.2922819,-55.2922819
134,-107.1603588,47.59624994,837,158,892.2858307,-55.2858307
1271,-106.3530729,47.69488014,723,128,778.2270957,-55.2270957
64,-107.2113113,47.58493037,843,70,898.0798805,-55.0798805
989,-106.4091362,47.71196712,738,171.4,793.0785959,-55.0785959
438,-106.4814364,47.78109578,771,125,826.0021221,-55.0021221
1467,-106.3247697,47.68032792,714,133,768.9962084,-54.9962084
155,-107.1046289,47.61903545,834,137,888.9768977,-54.9768977
76,-107.2060549,47.58423077,842,111,896.9418456,-54.9418456
926,-106.4081176,47.72512553,742,143,796.7509869,-54.7509869
623,-106.5186251,47.7167787,759,134,813.7468196,-54.7468196
679,-106.4379563,47.75494329,756,22,810.7144489,-54.7144489
992,-106.4085335,47.71087677,738,159.2,792.6546269,-54.6546269
680,-106.5200984,47.70508887,756,142,810.5906664,-54.5906664
1384,-106.3496775,47.68105436,719,151,773.5840861,-54.5840861
884,-106.4113374,47.72929698,744,127.9,798.5362092,-54.5362092
1565,-106.3096729,47.67071153,709,110,763.5256558,-54.5256558
1721,-106.2749538,47.66071903,700,64,754.5029677,-54.5029677
109,-107.1828892,47.59005523,840,65,894.5025903,-54.5025903
1799,-106.221496,47.67173826,694,167,748.3496,-54.3496
1316,-106.3487611,47.69098983,722,156,776.3313332,-54.3313332
55,-107.2157533,47.58650032,845,126,899.3268902,-54.3268902
1058,-106.3957923,47.70702842,735,97,789.2896286,-54.2896286
56,-107.2161877,47.586078,845,163,899.2836627,-54.2836627
24,-107.2611727,47.57564323,850,80,904.282785,-54.282785
1573,-106.311656,47.66851137,709,40,763.2318477,-54.2318477
397,-106.4826723,47.78746827,774,152,828.0807574,-54.0807574
65,-107.2091791,47.58609628,844,19,898.0392075,-54.0392075
66,-107.2098889,47.58557869,844,49,898.0157546,-54.0157546
52,-107.2176671,47.58740816,846,109,899.9311013,-53.9311013
58,-107.2144631,47.58555342,845,129,898.8230232,-53.8230232
405,-106.485914,47.78456503,774,134,827.8032833,-53.8032833
1540,-106.3135122,47.67241323,711,124,764.7008628,-53.7008628
1719,-106.276583,47.66035,701,29,754.6808656,-53.6808656
217,-107.0051339,47.54455748,796,53,849.6484893,-53.6484893
53,-107.2170538,47.58674514,846,121,899.6306929,-53.6306929
106,-107.166816,47.60024036,841,115,894.5934503,-53.5934503
907,-106.4104934,47.72619409,744,133.6,797.4797452,-53.4797452
428,-106.4720822,47.78832442,773,42,826.4709725,-53.4709725
1179,-106.3613398,47.7078203,730,64,783.4671331,-53.4671331
1180,-106.3611413,47.70787664,730,59.5,783.4498037,-53.4498037
835,-106.4097119,47.74022237,748,117,801.4472326,-53.4472326
1454,-106.3346098,47.67590387,716,33,769.4281854,-53.4281854
983,-106.4075919,47.7140286,740,5,793.4131578,-53.4131578
1790,-106.2169015,47.6781036,696,157,749.4100839,-53.4100839
154,-107.1769004,47.5758706,836,70,889.321023,-53.321023
1019,-106.4066799,47.70739034,738,133.4,791.3089135,-53.3089135
1658,-106.283746,47.66839519,705,109,758.2966262,-53.2966262
44,-107.1891324,47.60961571,848,74,901.2847421,-53.2847421
98,-107.2116148,47.57477427,842,143,895.1910529,-53.1910529
1574,-106.3079776,47.6705689,710,95,763.1876191,-53.1876191
1575,-106.3107858,47.66887224,710,30,763.1838509,-53.1838509
1009,-106.4078749,47.70869837,739,142.7,791.9015096,-52.9015096
369,-106.7105316,47.65606752,777,126,829.8774177,-52.8774177
704,-106.4446071,47.74455722,756,161,808.8467427,-52.8467427
1176,-106.3631311,47.70698922,731,99.8,783.5389218,-52.5389218
1178,-106.3631552,47.70688996,731,97.3,783.5156209,-52.5156209
1490,-106.3221476,47.67674101,715,129.7,767.4831745,-52.4831745
1289,-106.3503133,47.69381491,725,148,777.4294707,-52.4294707
33,-107.1971393,47.61207209,851,93,903.4235387,-52.4235387
54,-107.1865872,47.60474215,847,110,899.4206994,-52.4206994
1290,-106.3502993,47.69378808,725,146,777.4186911,-52.4186911
45,-107.188638,47.6098861,849,55,901.2771865,-52.2771865
1159,-106.3672164,47.70671566,732,95.8,784.1765747,-52.1765747
1160,-106.3673712,47.70651586,732,96.7,784.1458741,-52.1458741
842,-106.2428505,47.83868753,749,167,801.0276615,-52.0276615
439,-106.4998575,47.76990613,774,128,825.9684583,-51.9684583
419,-106.4792025,47.7856415,775,169,826.9379117,-51.9379117
1767,-106.2650496,47.65431418,699,118,750.8858993,-51.8858993
298,-106.8202471,47.61666747,786,75,837.8075559,-51.8075559
208,-107.1201513,47.58128929,829,70,880.7832131,-51.7832131
847,-106.4077863,47.73905829,749,109,800.7662753,-51.7662753
373,-106.4845619,47.79146586,778,175,829.5822767,-51.5822767
862,-106.4167044,47.72950977,748,127.7,799.5406233,-51.5406233
110,-107.1137775,47.63204073,843,75,894.3782681,-51.3782681
1764,-106.3068522,47.63081979,700,24,751.3466818,-51.3466818
306,-106.8110941,47.6167494,785,53,836.2108965,-51.2108965
337,-106.7743538,47.62863443,782,125,833.1671825,-51.1671825
1165,-106.3656722,47.70679704,733,88.6,783.9292252,-50.9292252
385,-106.4838965,47.78919802,778,162,828.80048,-50.80048
91,-107.1725565,47.60071663,845,125,895.7522921,-50.7522921
444,-106.4987574,47.76924567,775,136,825.5838597,-50.5838597
1831,-106.2236184,47.66394146,696,119,746.4370864,-50.4370864
1567,-106.3087727,47.67093775,713,105,763.436898,-50.436898
429,-106.5013307,47.77054371,776,126,826.4132429,-50.4132429
153,-107.1056901,47.61960986,839,121,889.3333238,-50.3333238
645,-106.5175014,47.71251955,762,127,812.3043813,-50.3043813
415,-106.479014,47.78652571,777,34,827.1627752,-50.1627752
1759,-106.3072246,47.63240818,702,13,751.8768412,-49.8768412
1167,-106.3652203,47.70684741,734,78.8,783.8639832,-49.8639832
1168,-106.3658225,47.70642634,734,86,783.847539,-49.847539
117,-107.1110145,47.63185767,844,115,893.8343625,-49.8343625
1137,-106.370171,47.71009061,736,115.1,785.6821052,-49.6821052
407,-106.5073114,47.77105017,778,68,827.6133051,-49.6133051
1214,-106.349575,47.70497199,731,122.1,780.5685954,-49.5685954
1219,-106.3492575,47.70403094,731,129.9,780.2361128,-49.2361128
